[2026-06-08T13:10:05.023261070] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T13:37:54.239093561] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T13:37:57.325663338] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T13:37:57.352348905] | [INFO] | [tello] | [REGISTER] | [Usuario registrado con key: 1]
[2026-06-08T13:38:00.647296123] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T13:38:15.735870963] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón UEMC]
[2026-06-08T13:38:15.743836737] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: UEMC]
[2026-06-08T13:38:20.171414308] | [INFO] | [tello] | [SEND_ROOM] | [Mensaje en salón UEMC]
[2026-06-08T13:38:31.964422020] | [INFO] | [tello] | [JOIN_PRIV] | [Conversación privada con tello]
[2026-06-08T13:38:36.943346637] | [INFO] | [tello] | [SEND_PRIV] | [Mensaje privado a tello]
[2026-06-08T13:38:41.574107364] | [INFO] | [tello] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T13:38:45.067738278] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T13:38:45.070363348] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T13:38:50.549377349] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T13:38:50.549901186] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T13:38:54.426821912] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T13:38:55.002646872] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T13:38:59.951370443] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T13:38:59.952214477] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:24:35.820677572] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T16:24:51.044802941] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:24:51.070017901] | [INFO] | [alejandro] | [REGISTER] | [Usuario registrado con key: 2]
[2026-06-08T16:24:52.826445905] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:25:16.174430729] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:25:16.212042977] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:25:21.380432150] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:25:21.381148017] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:25:24.112081438] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
